doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
128,,0.253,0.281,0.129,0.288,0.192,0.246,0.117,0.28,0.275,0.126,0.119,0.208,0.178,0.218,0.152,0.238,0.272,0.191,0.35,0.183,0.239,
129,,0.261,0.27,0.134,0.275,0.218,0.257,0.099,0.264,0.265,0.126,0.116,0.199,0.144,0.192,0.155,0.186,0.253,0.181,0.324,0.154,0.265,
130,,0.25,0.259,0.127,0.275,0.208,0.253,0.112,0.244,0.253,0.121,0.103,0.183,0.159,0.179,0.143,0.198,0.258,0.16,0.286,0.158,0.239,
131,,0.253,0.169,0.089,0.279,0.206,0.249,0.084,0.259,0.188,0.146,0.075,0.18,0.173,0.198,0.126,0.168,0.231,0.152,0.259,0.161,0.255,
132,,0.253,0.206,0.101,0.264,0.188,0.241,0.072,0.211,0.18,0.134,0.09,0.16,0.163,0.181,0.129,0.162,0.235,0.129,0.247,0.141,0.261,
133,,0.237,0.192,0.139,0.263,0.178,0.208,0.099,0.215,0.205,0.135,0.079,0.176,0.183,0.194,0.13,0.168,0.2,0.132,0.275,0.13,0.195,
134,,0.248,0.192,0.151,0.272,0.174,0.21,0.095,0.187,0.198,0.164,0.084,0.166,0.163,0.184,0.143,0.159,0.201,0.138,0.295,0.11,0.202,
135,,0.242,0.197,0.183,0.246,0.157,0.156,0.135,0.195,0.191,0.176,0.107,0.199,0.167,0.225,0.147,0.166,0.189,0.145,0.284,0.094,0.202,
136,,0.227,0.175,0.144,0.277,0.164,0.146,0.155,0.184,0.18,0.179,0.119,0.162,0.178,0.217,0.161,0.17,0.172,0.144,0.267,0.1,0.182,
137,,0.214,0.177,0.136,0.248,0.163,0.141,0.151,0.172,0.193,0.171,0.109,0.217,0.178,0.203,0.128,0.164,0.185,0.149,0.271,0.094,0.2,
138,,0.218,0.144,0.105,0.251,0.18,0.131,0.137,0.165,0.172,0.181,0.095,0.253,0.166,0.211,0.112,0.174,0.165,0.142,0.236,0.083,0.191,
139,,0.225,0.147,0.075,0.237,0.194,0.131,0.126,0.093,0.157,0.216,0.088,0.225,0.17,0.189,0.124,0.187,0.163,0.122,0.201,0.103,0.195,
140,,0.206,0.126,0.081,0.236,0.153,0.112,0.085,0.118,0.186,0.203,0.061,0.202,0.192,0.181,0.111,0.204,0.149,0.12,0.259,0.088,0.202,
141,,0.216,0.113,0.091,0.231,0.142,0.109,0.068,0.213,0.142,0.199,0.094,0.175,0.183,0.163,0.109,0.209,0.138,0.109,0.248,0.092,0.214,
142,,0.206,0.129,0.095,0.219,0.136,0.099,0.07,0.18,0.158,0.189,0.064,0.164,0.171,0.162,0.09,0.192,0.123,0.115,0.236,0.093,0.21,
143,,0.162,0.138,0.091,0.216,0.14,0.071,0.051,0.173,0.145,0.198,0.064,0.16,0.161,0.156,0.086,0.166,0.113,0.109,0.257,0.067,0.231,
144,,0.155,0.145,0.077,0.193,0.129,0.075,0.055,0.17,0.143,0.188,0.069,0.149,0.194,0.141,0.117,0.203,0.118,0.125,0.23,0.074,0.212,
145,,0.154,0.124,0.062,0.216,0.14,0.078,0.043,0.161,0.142,0.192,0.051,0.133,0.222,0.134,0.114,0.208,0.091,0.114,0.245,0.067,0.214,
146,,0.145,0.122,0.074,0.181,0.119,0.076,0.059,0.154,0.125,0.161,0.061,0.131,0.232,0.133,0.124,0.202,0.127,0.098,0.223,0.088,0.209,
147,,0.133,0.145,0.063,0.17,0.112,0.077,0.117,0.154,0.137,0.174,0.073,0.117,0.222,0.126,0.125,0.158,0.104,0.104,0.223,0.071,0.201,
148,,0.161,0.151,0.057,0.183,0.082,0.079,0.143,0.117,0.103,0.169,0.095,0.111,0.221,0.102,0.129,0.146,0.107,0.093,0.183,0.088,0.213,
149,,0.153,0.136,0.082,0.167,0.083,0.065,0.169,0.118,0.127,0.095,0.057,0.106,0.233,0.108,0.11,0.127,0.075,0.079,0.192,0.076,0.191,
150,,0.152,0.134,0.057,0.194,0.077,0.072,0.178,0.107,0.12,0.117,0.055,0.08,0.209,0.107,0.101,0.117,0.08,0.082,0.214,0.065,0.196,
151,,0.131,0.123,0.084,0.152,0.071,0.109,0.157,0.099,0.12,0.111,0.059,0.091,0.173,0.11,0.086,0.12,0.059,0.084,0.203,0.065,0.165,
152,,0.156,0.101,0.06,0.166,0.069,0.111,0.151,0.072,0.105,0.145,0.078,0.082,0.192,0.099,0.084,0.091,0.05,0.069,0.217,0.049,0.181,
